"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio",Anúncios,Idade,Gênero,Dia,"Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)",Compras,"Custo por compra","Valor de conversão da compra","Cliques no link","CPC (custo por clique no link)","Cliques (todos)","CPC (todos)","CPM (custo por 1.000 impressões)","CTR (todos)",Visualizações,"Taxa de compras por visualizações da página de destino","Custo por 1.000 contas da Central de Contas alcançadas","Veiculação do anúncio","Veiculação do conjunto de anúncios","Veiculação da campanha","Início dos relatórios","Término dos relatórios"
,,,,,,,,,,,,145683,434030,2.97927692,BRL,3265.76,399,8.18486216,6264.34,5589,0.5843192,7239,0.45113413,7.52427252,1.66785706,474107,17.98917944,22.41689147,,,,2025-09-22,2025-10-22
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",55-64,male,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,9,15,1.66666667,BRL,0.12092762,,,,,,0,0,8.06184118,0,,0,13.43640197,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO PCPI - ATUALIZADO 23.09","ESTADOS ABERTO","IMAGEM ATUALIZADA 2","IMAGEM ATUALIZADA 2",18-24,female,2025-10-21,103891466123901,120233437699530385,120233437699510385,120233438117660385,66,82,1.24242424,BRL,0.35379061,,,,,,1,0.35379061,4.31451968,1.2195122,,0,5.36046384,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO PCPI - ATUALIZADO 23.09","ESTADOS ABERTO","IMAGEM ATUALIZADA 2","IMAGEM ATUALIZADA 2",45-54,female,2025-10-21,103891466123901,120233437699530385,120233437699510385,120233438117660385,17,31,1.82352941,BRL,0.6368231,,,,,,0,0,20.5426808,0,,0,37.46018263,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PCPI - OTIMIZADA 01.10","00-  ESTADOS HOMENS - 25 A 44 ANOS [INSTAGRAM]","IMAGEM  NOVA 3 [campeão]","IMAGEM  NOVA 3 [campeão]",35-44,unknown,2025-10-21,103891466123901,120237904957610385,120237904957680385,120237904957600385,1,1,1,BRL,0,,,,,,0,0,0,0,,0,0,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","[CBO CONVERSÃO PPES] - CAMPEÃO 06.10","03- ESTADO [ES -MG- RJ]  - 18 A 44 ANOS","IMAGEM 3 - PPES - 03.10","IMAGEM 3 - PPES - 03.10",25-34,female,2025-10-21,103891466123901,120238235098310385,120238235098340385,120238235098290385,80,98,1.225,BRL,2.28458192,,,,2,1.14229096,4,0.57114548,23.31206038,4.08163265,,0,28.55727396,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PPMG - CAMPEÃO 06/10","02- ESTADOS MG  - 18 A 44 ANOS — Cópia","NOVA IMAGEM 2 - PPMG","NOVA IMAGEM 2 - PPMG",25-34,male,2025-10-21,103891466123901,120238235047260385,120238235047290385,120238235047280385,204,239,1.17156863,BRL,2.59137566,,,,2,1.29568783,4,0.64784392,10.84257599,1.67364017,,0,12.70282187,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",35-44,unknown,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,3,4,1.33333333,BRL,0.0201546,,,,,,0,0,5.03865074,0,,0,6.71820098,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PCPI - OTIMIZADA 01.10","00-  ESTADOS HOMENS - 25 A 44 ANOS [INSTAGRAM]","IMAGEM  NOVA 3 [campeão]","IMAGEM  NOVA 3 [campeão]",35-44,female,2025-10-21,103891466123901,120237904957610385,120237904957680385,120237904957600385,135,153,1.13333333,BRL,1.58385608,,,,1,1.58385608,1,1.58385608,10.3520005,0.65359477,,0,11.73226723,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",18-24,female,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,65,80,1.23076923,BRL,0.40309206,,,,1,0.40309206,1,0.40309206,5.03865074,1.25,,0,6.20141629,active,active,active,2025-10-21,2025-10-21
